     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_cons 
  8.173550016E+013   6.6568E+000   1.2506E+004   5.9135E-013  -5.5292E-008   2.2448E-007   1.2518E-006   1.7258E-009   0.0000E+000   1.4780E-006   4.6092E-004   4.2607E-002   1.1879E+000   1.8516E-007   1.3102E-003   0.0000E+000   1.2319E+000   2.6228E-004 
  9.040048087E+013   7.3823E+000   1.2444E+004   5.9135E-013  -6.0771E-008   2.2314E-007   1.2531E-006   1.7465E-009   0.0000E+000   1.4780E-006   4.6129E-004   4.2101E-002   1.1821E+000   1.8184E-007   1.3181E-003   0.0000E+000   1.2255E+000   2.6077E-004 
  1.024381012E+014   8.3976E+000   1.2354E+004   5.9135E-013  -6.8697E-008   2.2120E-007   1.2550E-006   1.7773E-009   0.0000E+000   1.4780E-006   4.6190E-004   4.1371E-002   1.1736E+000   1.7794E-007   1.3296E-003   0.0000E+000   1.2163E+000   2.5876E-004 
  1.313060057E+014   1.0871E+001   1.2118E+004   5.9135E-013  -8.8261E-008   2.1612E-007   1.2600E-006   1.8618E-009   0.0000E+000   1.4780E-006   4.6368E-004   3.9492E-002   1.1512E+000   1.6939E-007   1.3609E-003   0.0000E+000   1.1921E+000   2.5423E-004 
  1.643209682E+014   1.3777E+001   1.1816E+004   5.9135E-013  -1.0986E-007   2.0968E-007   1.2663E-006   1.9779E-009   0.0000E+000   1.4780E-006   4.6581E-004   3.7175E-002   1.1225E+000   1.5930E-007   1.4027E-003   0.0000E+000   1.1611E+000   2.4917E-004 
  1.973359307E+014   1.6776E+001   1.1492E+004   5.9135E-013  -1.3216E-007   2.0286E-007   1.2730E-006   2.1132E-009   0.0000E+000   1.4780E-006   4.6727E-004   3.4795E-002   1.0917E+000   1.5343E-007   1.4498E-003   0.0000E+000   1.1280E+000   2.4307E-004 
  2.261562617E+014   1.9479E+001   1.1201E+004   5.9135E-013  -1.5271E-007   1.9682E-007   1.2789E-006   2.2450E-009   0.0000E+000   1.4780E-006   4.6765E-004   3.2753E-002   1.0641E+000   1.5280E-007   1.4944E-003   0.0000E+000   1.0984E+000   2.3618E-004 
  2.780754170E+014   2.4563E+001   1.0675E+004   5.9135E-013  -1.9798E-007   1.8605E-007   1.2894E-006   2.5124E-009   0.0000E+000   1.4780E-006   4.6656E-004   2.9267E-002   1.0142E+000   1.5848E-007   1.5809E-003   0.0000E+000   1.0450E+000   2.2019E-004 
  3.403794556E+014   3.1064E+001   1.0040E+004   5.9135E-013  -2.8181E-007   1.7332E-007   1.3017E-006   2.8948E-009   0.0000E+000   1.4780E-006   4.6416E-004   2.5400E-002   9.5384E-001   1.7606E-007   1.6969E-003   0.0000E+000   9.8094E-001   1.9550E-004 
  4.026834942E+014   3.8062E+001   9.3815E+003   5.9135E-013  -3.5177E-007   1.6043E-007   1.3142E-006   3.3788E-009   0.0000E+000   1.4780E-006   4.6230E-004   2.1762E-002   8.9131E-001   2.1108E-007   1.8333E-003   0.0000E+000   9.1490E-001   1.6456E-004 
  4.470223930E+014   4.3400E+001   8.8884E+003   5.9135E-013  -3.9792E-007   1.5096E-007   1.3232E-006   3.8160E-009   0.0000E+000   1.4780E-006   4.6149E-004   1.9269E-002   8.4446E-001   2.5444E-007   1.9483E-003   0.0000E+000   8.6568E-001   1.3677E-004 
  4.836619462E+014   4.8073E+001   8.4614E+003   5.9135E-013  -4.5066E-007   1.4289E-007   1.3308E-006   4.2595E-009   0.0000E+000   1.4780E-006   4.6105E-004   1.7262E-002   8.0390E-001   3.1044E-007   2.0584E-003   0.0000E+000   8.2322E-001   1.0793E-004 
  5.488857369E+014   5.7108E+001   7.6498E+003   5.9135E-013  -5.5790E-007   1.2784E-007   1.3448E-006   5.3214E-009   0.0000E+000   1.4780E-006   4.6063E-004   1.3818E-002   7.2679E-001   5.0211E-007   2.3007E-003   0.0000E+000   7.4291E-001   3.2962E-005 
  6.796846285E+014   7.9292E+001   5.7384E+003   5.9135E-013  -9.8938E-007   9.3841E-008   1.3743E-006   9.8753E-009   0.0000E+000   1.4780E-006   4.6138E-004   7.4457E-003   5.4520E-001   3.1053E-006   3.1342E-003   0.0000E+000   5.5578E-001  -3.5781E-004 
  6.991356782E+014   8.3300E+001   5.4037E+003   5.9135E-013  -1.1063E-006   8.8083E-008   1.3787E-006   1.1208E-008   0.0000E+000   1.4780E-006   4.6151E-004   6.5601E-003   5.1339E-001   4.9374E-006   3.3391E-003   0.0000E+000   5.2330E-001  -4.8097E-004 
  7.146036956E+014   8.6683E+001   5.1224E+003   5.9135E-013  -1.2198E-006   8.3287E-008   1.3821E-006   1.2536E-008   0.0000E+000   1.4780E-006   4.6151E-004   5.8652E-003   4.8666E-001   7.6457E-006   3.5313E-003   0.0000E+000   4.9606E-001  -6.0745E-004 
  7.379810188E+014   9.2200E+001   4.6623E+003   5.9135E-013  -1.4419E-006   7.5528E-008   1.3872E-006   1.5245E-008   0.0000E+000   1.4780E-006   4.6142E-004   4.8233E-003   4.4294E-001   1.7388E-005   3.8941E-003   0.0000E+000   4.5167E-001  -8.7220E-004 
  7.581159558E+014   9.7456E+001   4.2103E+003   5.9135E-013  -1.7107E-006   6.8004E-008   1.3912E-006   1.8805E-008   0.0000E+000   1.4780E-006   4.6156E-004   3.9101E-003   3.9995E-001   4.4181E-005   4.3250E-003   0.0000E+000   4.0823E-001  -1.2184E-003 
  7.731340564E+014   1.0181E+002   3.7974E+003   5.9135E-013  -1.9957E-006   6.1210E-008   1.3935E-006   2.3210E-008   0.0000E+000   1.4780E-006   4.6163E-004   3.1679E-003   3.6061E-001   1.0693E-004   4.8050E-003   0.0000E+000   3.6869E-001  -1.6089E-003 
